id,serviceName,orgName,areaName,applyStartTime,applyEndTime,cashStandard,applyCondition,policyBasisFiles,policyBasisLinks
2034182784589459458,支持省级服务型制造集聚区建设,工信部门,安徽省,2026-04-01,2026-06-30,获评服务型制造集聚区的，给予不超过1000万元奖补支持。,获评安徽省省级服务型制造集聚区。,安徽省人民政府办公厅关于推动先进制造业和现代生产性服务业深度融合发展的实施意见；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1981526194681868289；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034077527763021825,支持省级先进制造业集群培育建设,工信部门,安徽省,2026-04-01,2026-06-30,给予新认定的省级先进制造业集群500万元补助,被新认定为2026年度省级先进制造业集群。,安徽省人民政府办公厅关于培育发展先进制造业集群的指导意见；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1769571093462560770；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034077227417300993,国家绿色工厂奖补,工信部门,安徽省,2026-03-31,2026-06-30,对获评国家绿色工厂、国家绿色供应链管理企业的，分别给予50万元一次性奖补。,获得国家绿色工厂称号,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034075070286753793,国家5G工厂奖补,工信部门,安徽省,2026-03-30,2026-06-30,对获评国家5G工厂的企业，给予50万元一次性奖补。,获评国家5G工厂的企业。,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905
2034073213539676161,培育省级重点工业互联网平台,工信部门,安徽省,2026-06-23,2026-07-23,入选2026年省级工业互联网平台,评选为2026年省级重点工业互联网平台,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2033884086294769665,2026年度财政与金融协同支持新兴产业专项 “免申即享”融资租赁项目,发改部门,安徽省,2026-03-01,2026-08-01,省级按照实际支付融资租赁租息的40%给予补贴，贴息期限不超过2个自然年度，单个项目贴息额不超过300万元。,制造业企业采用融资租赁方式采购或盘活用于生产制造的设备，设备租赁期限不低于2年,安徽省财政与金融协同支持新兴产业专项实施细则；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1900399574697844738；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2033871848171335682,2026年度财政与金融协同支持新兴产业专项 “免申即享”贴息项目,发改部门,安徽省,2026-03-01,2026-08-01,贴息期限不超过2年，单个项目不超过2000万元,在建的战略性新兴产业制造业项目 总投资不低于2亿元 ,安徽省财政与金融协同支持新兴产业专项实施细则；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1900399574697844738；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2033822003712716801,2026年获批全国重点实验室奖补,科技部门,安徽省,2026-01-01,,对通过重组及新获批全国重点实验室一次性给予1000万元资助。,获得科技部或国防科工局关于建设全国重点实验室的正式批文。,关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2033754890570526721,鼓励类外资项目进口自用设备免税确认,发改部门,安徽省,2026-02-01,,进口设备免征关税,"1.符合《鼓励外商投资产业目录》的外资项目。
2.投资总额3亿美元以下（3亿美元及以上属国家事权）。",关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2032405019766779906,安徽省未来产业标杆应用场景和商业化应用解决方案资金,发改部门,安徽省,2025-09-01,2030-10-31,给予100万元一次性奖励资金,对纳入省级标杆应用场景和商业化应用解决方案的，每个给予100万元的一次性奖励。,安徽省人民政府办公厅关于印发 《安徽省未来产业发展行动方案》的通知；关于巩固拓展经济稳中向好势头若干政策举措,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1932770639789350914；https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
