serviceId,serviceName,policyId,policyTitle,policyNo,policyOffice,publishTime,policyFile,policyFileName,clause,policyDetailUrl,policyReadableUrl
2034182784589459458,支持省级服务型制造集聚区建设,1981526194681868289,安徽省人民政府办公厅关于推动先进制造业和现代生产性服务业深度融合发展的实施意见,皖政办〔2025〕4号,安徽省人民政府办公厅,2025-06-09,安徽省人民政府办公厅关于推动先进制造业和现代生产性服务业深度融合发展的实施意见,安徽省人民政府办公厅关于推动先进制造业和现代生产性服务业深度融合发展的实施意见.doc,制订省级服务型制造集聚区创建导则，以县（市、区）和省级以上开发区为创建主体，加强服务型制造应用创新、政策创新、机制创新，打造服务型制造集聚区。充分发挥制造强省建设领导小组及办公室统筹协调作用，统筹制造强省建设等资金推动两业融合发展。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1981526194681868289,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1981526194681868289
2034182784589459458,支持省级服务型制造集聚区建设,2027281495567638530,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号,安徽省人民政府,2026-02-14,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号.doc,加快建设省级服务型制造集聚区，每个给予最高1000万元支持。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034077527763021825,支持省级先进制造业集群培育建设,1769571093462560770,安徽省人民政府办公厅关于培育发展先进制造业集群的指导意见,皖政办秘〔2023〕55号,安徽省人民政府办公厅,2023-12-01,安徽省人民政府办公厅关于培育发展先进制造业集群的指导意见,皖政办秘55号.pdf,统筹省制造业数字化转型等政策资金，给予新认定的国家级、世界级先进制造业集群1000万元、省级先进制造业集群500万元补助，用于支持集群企业产业科技创新实体项目、公共服务平台建设等。根据认定和考核评价结果分步到位，具体办法另行制定。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1769571093462560770,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1769571093462560770
2034077527763021825,支持省级先进制造业集群培育建设,2027281495567638530,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号,安徽省人民政府,2026-02-14,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号.doc,培育省级先进制造业集群10个，给予新认定的省级先进制造业集群500万元补助。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034077227417300993,国家绿色工厂奖补,2026950883933691905,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,皖政办〔2025〕8号,安徽省人民政府办公厅,2025-08-15,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,安徽省人民政府办公厅关于印发《安徽省以新型技术改造推动制造业高端化智能化绿色化发展行动方案》的通知.doc,实施绿色工厂提质扩面计划，聚焦重点行业树立一批绿色制造标杆，对获评国家绿色工厂、国家绿色供应链管理企业的，分别给予50万元一次性奖补。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905
2034077227417300993,国家绿色工厂奖补,2027281495567638530,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号,安徽省人民政府,2026-02-14,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号.doc,培育国家绿色工厂80家左右。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2034075070286753793,国家5G工厂奖补,2026950883933691905,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,皖政办〔2025〕8号,安徽省人民政府办公厅,2025-08-15,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,安徽省人民政府办公厅关于印发《安徽省以新型技术改造推动制造业高端化智能化绿色化发展行动方案》的通知.doc,加快5G网络深度覆盖和应用推广，对获评国家5G工厂的企业，给予50万元一次性奖补。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905
2034073213539676161,培育省级重点工业互联网平台,2026950883933691905,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,皖政办〔2025〕8号,安徽省人民政府办公厅,2025-08-15,安徽省人民政府办公厅关于印发 《安徽省以新型技术改造推动制造业 高端化智能化绿色化发展行动方案》的通知,安徽省人民政府办公厅关于印发《安徽省以新型技术改造推动制造业高端化智能化绿色化发展行动方案》的通知.doc,打造面向重点行业、产业集群和供应链协同的工业互联网平台体系，到2027年，累计培育省级重点工业互联网平台110家以上，对新获评的企业给予100万元一次性奖补。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2026950883933691905
2034073213539676161,培育省级重点工业互联网平台,2027281495567638530,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号,安徽省人民政府,2026-02-14,关于巩固拓展经济稳中向好势头若干政策举措,皖政〔2026〕15号.doc,新培育省级重点工业互联网平台10家以上。,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=2027281495567638530
2033884086294769665,2026年度财政与金融协同支持新兴产业专项 “免申即享”融资租赁项目,1900399574697844738,安徽省财政与金融协同支持新兴产业专项实施细则,皖发改产业〔2024〕533号,安徽省发展和改革委员会安徽省财政厅安徽省地方金融管理局中国人民银行安徽省分行国家金融监督管理总局安徽监管局,2024-10-15,安徽省财政与金融协同支持新兴产业专项实施细则,安徽省财政与金融协同支持新兴产业专项实施细则.doc,详见文件,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1900399574697844738,https://www.ahzwfw.gov.cn/hqw-bsdt-portal/static/zcwj/detail?id=1900399574697844738
